INFO: 2021-06-10 15:58:16,640: -------------------------------
INFO: 2021-06-10 15:58:39,853: The rmse for RF iteration 1: 0.836
INFO: 2021-06-10 15:58:39,854: -------------------------------
INFO: 2021-06-10 15:59:01,942: The rmse for RF iteration 2: 0.792
INFO: 2021-06-10 15:59:01,943: -------------------------------
INFO: 2021-06-10 15:59:23,870: The rmse for RF iteration 3: 0.782
INFO: 2021-06-10 15:59:23,870: -------------------------------
INFO: 2021-06-10 15:59:46,128: The rmse for RF iteration 4: 0.832
INFO: 2021-06-10 15:59:46,129: -------------------------------
INFO: 2021-06-10 16:00:08,367: The rmse for RF iteration 5: 0.817
INFO: 2021-06-10 16:00:08,368: -------------------------------
INFO: 2021-06-10 16:00:31,544: The rmse for RF iteration 6: 0.820
INFO: 2021-06-10 16:00:31,545: -------------------------------
INFO: 2021-06-10 16:00:54,098: The rmse for RF iteration 7: 0.793
INFO: 2021-06-10 16:00:54,099: -------------------------------
INFO: 2021-06-10 16:01:16,570: The rmse for RF iteration 8: 0.811
INFO: 2021-06-10 16:01:16,570: -------------------------------
INFO: 2021-06-10 16:01:38,984: The rmse for RF iteration 9: 0.826
INFO: 2021-06-10 16:01:38,985: -------------------------------
